,sna,lat,lng,rent,return
267,西本願寺廣場,25.0414,121.508,8307.153846153846,7404.076923076923
268,三興公園,25.0287,121.559,2537.846153846154,3228.1538461538457
269,中山堂,25.0441,121.51,3643.0769230769233,3384.230769230769
270,明美公園,25.0626,121.586,1110.1538461538462,1350.0
271,南港車站(興華路),25.0536,121.60600000000001,7522.384615384615,6366.23076923077
272,士林新天地,25.089000000000002,121.51700000000001,3321.230769230769,4223.846153846154
273,松江公園,25.0503,121.53299999999999,3690.8461538461543,3443.1538461538457
274,富台公園,25.0419,121.572,3879.4615384615386,3729.6923076923076
275,中央北路四段540巷口,25.128,121.46799999999999,531.8461538461538,1287.3076923076926
276,華聲公園,25.0961,121.522,1366.6153846153845,1813.1538461538464
277,螢橋國小,25.026,121.514,4371.923076923077,4245.461538461538
278,德明財經科技大學,25.0864,121.566,2354.153846153846,2478.4615384615386
279,第二果菜批發市場,25.0676,121.538,2712.230769230769,3612.0769230769233
280,濟南紹興路口,25.0419,121.524,4994.307692307692,5393.846153846154
281,牯嶺公園,25.0233,121.51899999999999,5488.0,5526.461538461538
282,新生公園,25.0685,121.53,1733.2307692307693,2069.4615384615386
283,捷運松山站(3號出口),25.0513,121.564,12468.53846153846,11921.46153846154
284,合心廣場,25.0464,121.583,2457.0,2894.0769230769233
285,自來水園區,25.0125,121.53,8321.384615384615,5673.769230769231
286,朱崙商場,25.0476,121.54,4789.923076923077,4983.846153846154
287,敦親公園,25.0236,121.541,5273.769230769231,5655.461538461538
288,萬和二號公園,25.0015,121.536,1700.1538461538462,1790.1538461538462
289,長沙公園,25.0417,121.5,990.0,1024.4615384615388
290,太原五原路口,25.0565,121.51700000000001,2780.3076923076924,3083.769230769231
291,萬華國中,25.0293,121.499,1867.6153846153845,1884.7692307692307
292,信義基隆路口,25.0332,121.559,4233.153846153846,5056.615384615385
293,林森長春路口,25.0551,121.525,5947.6923076923085,6039.769230769231
294,敦北公園,25.0607,121.551,2553.538461538461,3159.384615384615
295,安泰街83巷,25.0767,121.617,1011.6923076923076,1766.2307692307693
296,金華公園,25.0299,121.531,5120.846153846154,5293.538461538462
297,碧山公園,25.0874,121.59200000000001,2004.0,1817.9230769230771
298,捷運古亭站(6號出口),25.0279,121.522,9054.153846153846,8181.923076923077
299,仁愛安和路口,25.0375,121.552,5400.153846153846,5886.23076923077
300,西松高中,25.0546,121.56700000000001,3965.4615384615386,3933.615384615385
301,三軍總醫院(松山分院),25.0545,121.556,3259.615384615385,3262.4615384615386
302,國立臺北大學(臺北校區),25.0579,121.54299999999999,3486.4615384615386,3598.5384615384614
303,捷運忠孝新生站(2號出口),25.0424,121.53200000000001,7507.846153846153,6839.769230769231
304,捷運信義安和站(1號出口),25.0333,121.553,6914.461538461538,5829.3076923076915
305,光華商場,25.0445,121.53299999999999,5010.846153846154,4637.23076923077
306,敦化長春路口,25.0537,121.54899999999999,5033.23076923077,5107.461538461538
307,捷運萬隆站(1號出口),25.0147,121.535,2814.8461538461543,3031.384615384615
308,民有一號公園,25.0609,121.54799999999999,3214.230769230769,3651.9230769230767
309,雙園國中,25.0268,121.492,1476.9230769230771,1999.0769230769229
310,成功金龍路口,25.0841,121.595,1655.7692307692307,2033.3076923076926
311,民族林森路口,25.0685,121.525,2162.0,2257.615384615385
312,捷運南京三民站(3號出口),25.0513,121.564,7693.076923076923,6640.538461538462
313,莒光大埔街口,25.0313,121.505,970.0769230769232,1205.6923076923074
314,永盛公園(民生東路一段23巷),25.0589,121.525,2824.6923076923076,3087.769230769231
315,新興公園,25.0615,121.522,2473.615384615385,2783.384615384615
316,市立圖書館葫蘆堵分館,25.0823,121.51100000000001,1207.1538461538462,2296.0
317,南京東路六段368巷,25.0583,121.587,861.8461538461537,1832.0769230769229
318,基隆路一段101巷口,25.0453,121.56700000000001,2806.230769230769,3071.6923076923076
319,重慶南海路口,25.0317,121.515,3808.8461538461543,3506.1538461538457
320,一江公園,25.0532,121.531,3102.1538461538457,3030.0
321,樂群二明水路口,25.0799,121.552,1573.0769230769229,1739.2307692307693
322,迪化休閒運動公園,25.0749,121.51100000000001,688.8461538461537,919.7692307692308
323,民族玉門街口,25.0686,121.52,2959.615384615385,2931.5384615384614
324,捷運中山站(2號出口),25.058000000000003,121.521,5675.846153846153,6632.384615384615
325,復盛公園,25.0475,121.561,2479.4615384615386,2706.230769230769
326,敦化南路二段103巷口,25.0288,121.54899999999999,6142.769230769231,6756.769230769231
327,景文中學,24.9863,121.568,1075.2307692307693,1083.1538461538462
328,承德路三段8巷口,25.0638,121.51799999999999,1370.6153846153845,1364.3076923076926
329,成德國中,25.0457,121.588,1846.0769230769229,2185.846153846154
330,重慶國中,25.0759,121.51799999999999,1420.9230769230771,1632.0769230769229
331,南京光復路口,25.0514,121.557,3769.4615384615386,4070.230769230769
332,捷運芝山站(1號出口),25.1033,121.523,1504.6153846153845,1552.0
333,文林建民路口,25.1078,121.515,975.1538461538463,1241.4615384615386
334,忠孝東路六段185巷口,25.049,121.588,1934.0769230769229,2104.230769230769
335,捷運忠孝復興站(5號出口),25.0517,121.545,1807.7692307692307,1530.0769230769229
336,中正運動中心,25.0382,121.51899999999999,3888.230769230769,3541.5384615384614
337,陽明高中,25.0922,121.51700000000001,1067.3076923076924,984.2307692307692
338,博愛寶慶路口,25.0414,121.51100000000001,1935.7692307692307,1836.1538461538464
339,民生立體停車場,25.0585,121.559,2130.153846153846,2561.692307692308
340,重慶酒泉街口,25.0718,121.514,2428.692307692308,2671.846153846154
341,復興南路二段128巷口,25.0292,121.54299999999999,5300.692307692308,5834.461538461538
342,中山青島路口,25.0792,121.54299999999999,3173.0,2933.9230769230767
343,民權迪化街口,25.0631,121.509,1548.0,1611.0769230769229
344,建國濟南路口,25.0401,121.538,1855.8461538461536,2014.6153846153845
345,福山公園,25.0449,121.618,1129.076923076923,1343.6153846153845
346,臺北市網球中心,25.0674,121.59700000000001,474.76923076923083,1063.7692307692307
347,松友公園,25.0342,121.57600000000001,2058.846153846154,2551.384615384615
348,新明成功路口,25.0606,121.59100000000001,443.0,1240.923076923077
349,健安新城,25.0561,121.564,4229.846153846154,4657.769230769231
350,民權建國路口,25.0625,121.537,2885.8461538461543,3256.4615384615386
351,振興醫院,25.1177,121.522,2562.538461538461,2511.846153846154
352,和平金山路口,25.0316,121.527,3151.615384615385,3268.4615384615386
353,復興南路一段340巷口,25.0362,121.544,3743.4615384615386,3336.9230769230767
354,嘉興公園,25.0211,121.552,2836.1538461538457,3195.8461538461543
355,陽明大學,25.1193,121.512,1787.1538461538462,2196.769230769231
356,碧湖公園,25.08,121.583,1041.3846153846157,1154.923076923077
357,臺灣戲曲中心,25.1025,121.52,354.0,459.3846153846154
358,世新大學,24.9886,121.544,2353.3076923076924,1662.9230769230771
359,新和國小,25.0266,121.50200000000001,1527.5384615384617,1747.0769230769229
360,南門國中,25.0351,121.508,1641.4615384615383,1815.5384615384612
